Identificador ,Nombre ,Descripción,Clase vial,Número,Complemento dirección,latitud,longitud,tipo ,subtipo,precio,horario ,fechas,observaciones,,,,,,,,,,,,
,Capilla del Oidor,Oficina de Turismo y Sala de Exposiciones,Plaza Rodríguez Marín s/n,s/n,,40.10301765127581,-3.7677189153306867,,,Entrada Gratuita,Lunes a Viernes y Domingos 10:00-14:00-16:00-19:00/sábados 10:00-19:00,,,,,,,,,,,,,,
,Centro de Interpretación Alcalá Medieval ,El Centro de Interpretación Alcalá Medieval y Murallas recorre la historia de la ciudad de Alcalá  conocida en los siglos XII y XIII como Burgo de Santiuste. Con la intención de  mostrar cómo eran la ciudad y su urbanismo en la Edad Media  desde el final del mundo romano hasta el inicio del Renacimiento. ,Calle Cardenal Sandoval y Rojas,3,,40.48124033266036,-3.3711437879613957,,,Entrada gratuita,jueves  viernes y domingo 11:00-14:00-Sábado: 11-14/16-19 Verano: 11-14/17-20,,,,,,,,,,,,,,
,Murallas Medievales,En la calle Sandoval y Rojas nos encontramos con la muralla interior que protegía el palacio Arzobispal. Toda ella erigida en el siglo XIV  en tiempos del arzobispo Tenorio. Llegamos así a la denominada torre XIV  con un arco apuntado y un potente matacán defensivo. Esta puerta  era el acceso al albacara  espacio fortificado que servía de refugio a la población en caso de asedio enemigo. En el interior de arco podemos ver las dos gorroneras originales y la buharda (abertura para la defensa vertical). El torreón se conserva en un excelente estado.,Calle Cardenal Sandoval y Rojas,s/n,,40.48318884931482,-3.372143253412836,,,Entrada Gratuita,jueves  viernes y domingo 11:00-14:00 sábado 11-14/16-19 Verano: 11-14/17-20,,,,,,,,,,,,,,
,Torre de la Antigua Iglesia de Santa María ,La torre de la desaparecida iglesia de Santa María la Mayor  restaurada recientemente como un espléndido mirador del casco histórico  complementa la sala de Exposiciones de la Capilla del Oidor   invitándonos a recorrer la ciudad a vista de pájaro. En este lugar  en la Edad Media  fuera de las murallas de la villa  estaba la ermita de S. Juan Bautista (llamado de los Caballeros). El año 1449  el Arzobispo Carrillo traslada a esta ermita la Parroquia de Santa María la Mayor y diez años después la dota de «torre y campanas». En 1553 se inició la construcción de la que pretendían fuera una gran iglesia  tirando en parte la ermita. Será en los primeros años del siglo XIX cuando se levanta la torre que cambió el chapitel y restauró la escalera  ya en el siglo XX   tras un incendio fortuito. 109 escalones y 34 metros nos conducen por la vida y las obras del insigne Miguel de Cervantes. Junto a esta torre se encontró la capilla bautismal de la iglesia  lugar donde un 9 de octubre de 1547 fue bautizado el autor del Quijote.. Sistema de Audio Guía en español y en inglés con una completa explicación de los edificios que se pueden contemplar desde el mirador de la Torre.,Plaza Rodríguez Marín s/n,s/n,,40.48173686609376,-3.3638800508586932,,,Entrada Gratuita,martes a domingo11:00-14:00 sábado: 11-14 16-19,,,,,,,,,,,,,,
,Ciudad Romana de Complutum,En Alcalá de Henares se sitúa uno de los más importantes yacimientos arqueológicos de Madrid. El conjunto incluye el antiguo foro monumental de la ciudad romana de Complutum  origen de la actual Alcalá.,Camino del Juncal,12,,40.47431041452469,-3.386269601831177,,,Entrada Gratuita,martes a domingo y festivos 10-14/16-19 Verano: 10-14/17-20,,,,,,,,,,,,,,
,Yacimiento Arqueológico Casa de Hippolytus,Complutum es el nombre de la ciudad romana que dio origen a Alcalá de Henares. En sus inmediaciones se ubica la Casa de Hippolytus. El edificio  construido entre los siglos III y IV d.C  formaba parte de una gran finca situada en los suburbios de la ciudad de Complutum  y estaba rodeado de amplios jardines y de un mausoleo dedicado a la memoria de la familia de los Anios. En realidad era sede de un Colegio de Jóvenes donde se cumplía una función lúdica y formativa de estas agrupaciones refinadas de la nobleza urbana. En su interior  acondicionado para la visita   podemos contemplar perfectamente conservado el mosaico de los peces.,Avda. de Madrid s/n,s/n,,40.47679203431746,-3.3907310858945188,,,Entrada Gratuita,martes a domingo y festivos 10-14/16-19 Verano: 10-14/17-20,,,,,,,,,,,,,,
,Corral de Comedias,,Plaza de Cervantes,15,,40.48247170844606,-3.364464571139632,,,horarios y precio visita guiada en www.corraldealcala.com,horarios en www.corraldealcala.com,,,,,,,,,,,,,,
,Universidad de Alcalá,Las visitas a la Universidad de Alcalá de Henares deben comenzar  sin duda  por el Colegio Mayor de San Ildefonso  actual Rectorado del centro. El edificio  situado en el casco histórico de la ciudad  se constituye como centro de la estructura universitaria diseñada por el cardenal Cisneros desde 1499. Su fachada fue construida a partir de 1537 por Rodrigo Gil de Hontañón  arquitecto de las catedrales de Salamanca y Segovia y fue rematada en 1553 siendo aparejador de la misma Pedro de la Cotera. En su elegante decoración trabajaron los entalladores más cualificados de la época y forjaron sus admirables rejas los maestros de la catedral de Toledo Francisco de Villalpando y Ruiz Díaz del Corral. Conserva el Patio de Santo Tomás de Villanueva  el de los Filósofos y el Trilingüe. Toda visita a la Universidad de Alcalá de Henares debe pasar por el Paraninfo y la Capilla Universitaria en la que destaca el sepulcro de Cisneros  obra cumbre de la escultura española del siglo XVI  ,Plaza de San Diego ,,,40.48299393086788,-3.3631127378314227,,,horarios y precio http://visitas.uah.es,horarios y precios http://visitas.uah.es,,,,,,,,,,,,,,
,Palacio Laredo. Museo Cisneriano,El Palacio Laredo es la obra más característica y personal que nos legó el pintor  decorador  restaurador  escenógrafo y Alcalde de Alcalá Manuel José de Laredo (1842-1896). Terminado en 1886  todo el edificio responde a esa tendencia  tan en boga durante el siglo XIX  de restituir  o más propiamente recrear un tanto caprichosamente en esta ocasión  la antigua arquitectura a partir de la reutilización de restos arqueológicos procedentes de edificios de Toledo  Jaén  Guadalajara  Santorcaz y de la propia Alcalá.,Paseo de la Estación,10,,40.48802551309037,-3.3639165729944267,,,horarios y precio http://visitas.uah.es,horarios y precio http://visitas.uah.es,,,,,,,,,,,,,,
,Museo Casa Natal de Cervantes,El lugar de nacimiento de Miguel de Cervantes ha sido muy debatido y cuestionado  y no fue hasta 1948 cuando Luis Astrana Marín  autor de Vida ejemplar y heroica de Miguel de Cervantes Saavedra  dio a conocer este emplazamiento como tal. La Casa de Cervantes se encuentra situada en el casco histórico de Alcalá de Henares  contigua al Hospital de Antezana  donde se cree que trabajó Rodrigo de Cervantes  padre del escritor. A consecuencia de este descubrimiento  el Ayuntamiento adquirió la finca en 1954 para instalar en ella un museo cervantino y se cedió el edificio al Estado.,Calle Mayor,48,,40.482451489783614,-3.367164988340237,,,Entrada Gratuita ,martes a viernes 10:00 a 18:00-sábados domingos y festivos 10:00 a 19:00,,,,,,,,,,,,,,
