id_terraza;id_local;id_distrito_local;desc_distrito_local;id_barrio_local;desc_barrio_local;id_ndp_edificio;id_clase_ndp_edificio;id_vial_edificio;clase_vial_edificio;desc_vial_edificio;nom_edificio;num_edificio;cal_edificio;ref_catastral;Cod_Postal;coordenada_x_local;coordenada_y_local;id_tipo_acceso_local;desc_tipo_acceso_local;id_situacion_local;desc_situacion_local;secuencial_local_PC;Escalera;id_planta_agrupado;id_local_agrupado;coordenada_x_agrupacion;coordenada_y_agrupacion;rotulo;id_periodo_terraza;desc_periodo_terraza;id_situacion_terraza;desc_situacion_terraza;Superficie_ES;Superficie_RA;Fecha_confir_ult_decreto_resol;id_ndp_terraza;id_clase_ndp_terraza;id_vial;desc_clase;desc_nombre;nom_terraza;num_terraza;cal_terraza;desc_ubicacion_terraza;hora_ini_LJ_es;hora_fin_LJ_es;hora_ini_LJ_ra;hora_fin_LJ_ra;hora_ini_VS_es;hora_fin_VS_es;hora_ini_VS_ra;hora_fin_VS_ra;mesas_aux_es;mesas_aux_ra;mesas_es;mesas_ra;sillas_es;sillas_ra;mesas_altas_estacional;mesas_altas_anual;anclaje;apilamiento;ambito_ordenacion_cod;ambito_ordenacion_desc;denominacion_cod;denominacion_desc;fecha_acuerdo_delimitacion;tipo_suelo_cod;tipo_suelo_desc;separadores_moviles_menor_estacional;separadores_moviles_mayor_estacional;auxiliares_informacion_es;elem_jard_menor_estacional;elem_jard_mayor_estacional;sombrillas_es;otros_es_mobiliario;separadores_moviles_menor_anual;separadores_moviles_mayor_anual;auxiliares_informacion_ra;elem_jard_menor_anual;elem_jard_mayor_anual;sombrillas_ra;otros_ra_mobiliario;construccion_ligera_fachada_es;construccion_ligera_bordillo_es;tarima_pavimento_es;toldos_pavimento_es;sombrillas_pavimento_es;elem_separacion_menor_estacional;elem_separacion_mayor_estacional;elem_aux_apoyo_es;construccion_ligera_fachada_ra;construccion_ligera_bordillo_ra;tarima_pavimento_ra;toldos_pavimento_ra;sombrillas_pavimento_ra;elem_separacion_menor_anual;elem_separacion_mayor_anual;elem_aux_apoyo_ra;estufas_gas_es;estufas_electricas_es;aparatos_clima_es;nebulizadores_es;iluminacion_es;otros_es_elem_ind;estufas_gas_ra;estufas_electricas_ra;aparatos_clima_ra;nebulizadores_ra;iluminacion_ra;otros_ra_elem_ind;sonometro_estacional;sonometro_anual;placas_fotovoltaicas_estacional;placas_fotovoltaicas_anual;fx_carga
"34";"270078567";4;"SALAMANCA           ";404;"GUINDALERA          ";"11018555";1;35200;"CALLE                   ";"ALONSO HEREDIA                                    ";"NUM";"000025";"  ";"3065403VK4736E0001LJ";28028;442986.6;4476379.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"04";;;"BAR MARISQUERIA LUIS";"1";"Anual";"1";"Abierta";11.16;11.16;"2014-04-04 10:03:37.793";"11018555";1;35200;"CALLE                   ";"ALONSO HEREDIA                                    ";"NUM";"000025";"  ";"Calle peatonal";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;4;0;14;0;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;2;"false";0;;0;0;;0;"false";"false";"false";"false";0;0;0;;0;"false";"false";"false";0;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.27455"
"36";"40002021";4;"SALAMANCA           ";404;"GUINDALERA          ";"11018545";1;10100;"CALLE                   ";"AGUSTIN DURAN                                     ";"NUM";"000010";"  ";"3165209VK4736E";28028;442972.6;4476350.5;"1";"Puerta Calle";"1";"Abierto";20;" ";"1";" ";;;"SAGAR";"2";"Estacional";"1";"Abierta";7.20;;"2014-04-07 09:03:47.69";"11018548";1;35200;"CALLE                   ";"ALONSO HEREDIA                                    ";"NUM";"000022";"  ";"Calle peatonal";"08:00:00";"01:30:00";;;"08:00:00";"01:30:00";;;0;0;5;0;10;0;0;;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;0;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;0;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;0;;0;;"2025-04-25 03:30:58.27455"
"62";"180000735";18;"VILLA DE VALLECAS   ";1801;"CASCO H.VALLECAS    ";"31005855";1;580300;"CALLE                   ";"PEÑA RIVERA                                       ";"NUM";"000030";"  ";"7296603VK4679E0101GD";28031;447137.53;4469405.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"L3";;;"BAR CANALEJAS";"1";"Anual";"1";"Abierta";14.50;14.50;"2014-04-14 10:12:42.437";"20072223";1;2246;"CALLE                   ";"FUENTIDUEÑA                                       ";"NUM";"000021";"  ";"Acera";"08:00:00";"01:00:00";"08:00:00";"00:00:00";"08:00:00";"01:30:00";"08:00:00";"00:00:00";0;0;5;5;18;18;0;0;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;3;"false";0;0;0;0;0;3;"false";"false";"false";"false";0;0;0;0;0;"false";"false";"false";0;0;0;0;0;0;0;0;0;0;"false";0;0;0;0;0;"false";0;0;0;0;"2025-04-25 03:30:58.775215"
"69";"270380946";4;"SALAMANCA           ";401;"RECOLETOS           ";"11013848";1;18900;"CALLE                   ";"ALCALA                                            ";"NUM";"000089";"  ";"1949608VK4714H0002JE";28009;441877.6;4474703.5;"1";"Puerta Calle";"1";"Abierto";10;;"0";"DR";;;"EL ARBOL Y LA TOSTA";"1";"Anual";"1";"Abierta";5.04;5.04;"2014-04-15 11:52:24.62";"11013848";1;18900;"CALLE                   ";"ALCALA                                            ";"NUM";"000089";"  ";"Acera";"10:00:00";"01:00:00";"10:00:00";"00:00:00";"10:00:00";"02:30:00";"10:00:00";"00:00:00";0;0;3;3;6;6;;;"false";"false";;;;;;1;"Suelo publico";0;;0;0;;0;"false";0;;0;0;;0;"false";"false";"false";"false";0;0;0;;0;"false";"false";"false";0;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.27455"
"70";"170000965";17;"VILLAVERDE          ";1705;"LOS ANGELES         ";"11128562";1;426685;"CALLE                   ";"LA DEL MANOJO DE ROSAS                            ";"NUM";"000071";"  ";"0975625VK4607F0001EE";28041;440747.53;4467357.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"01";;;"LA PINILLA II";"1";"Anual";"1";"Abierta";57.24;57.00;"2014-04-16 09:23:16.023";"11128562";1;426685;"CALLE                   ";"LA DEL MANOJO DE ROSAS                            ";"NUM";"000071";"  ";"Acera";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";0;0;13;13;49;49;;;"true";"true";;;;;;1;"Suelo publico";0;;0;0;;6;"false";0;;0;0;;6;"false";"false";"false";"false";3;0;0;;0;"false";"false";"false";3;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.775215"
"78";"170001098";17;"VILLAVERDE          ";1704;"LOS ROSALES         ";"31002008";1;2697;"CALLE                   ";"MARIA BARRIENTOS                                  ";"NUM";"000004";" A";"1775701VK4617F0338EZ";28021;441702.53;4467387.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"11";;;"SIDRERIA MAS LOLA";"2";"Estacional";"1";"Abierta";47.96;;"2014-04-24 14:13:05.273";"31002008";1;2697;"CALLE                   ";"MARIA BARRIENTOS                                  ";"NUM";"000004";" A";"Acera";"08:00:00";"01:30:00";;;"08:00:00";"01:30:00";;;0;0;11;0;44;0;;;"false";"true";;;;;;1;"Suelo publico";0;;0;0;;0;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;;;;;"2025-04-25 03:30:58.775215"
"79";"270228707";17;"VILLAVERDE          ";1701;"SAN ANDRES          ";"11124826";1;18100;"PASEO                   ";"ALBERTO PALACIOS                                  ";"NUM";"000020";"  ";"9766213VK3696F0001OP";28021;439581.53;4466421.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"01";;;"BURGUER CAROVI";"1";"Anual";"1";"Abierta";29.13;29.13;"2014-04-24 14:13:10.213";"11124826";1;18100;"PASEO                   ";"ALBERTO PALACIOS                                  ";"NUM";"000020";"  ";"Acera";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";0;0;10;10;40;40;;;"false";"true";;;;;;1;"Suelo publico";0;;0;0;;2;"false";0;;0;0;;2;"false";"false";"false";"false";0;0;0;;0;"false";"false";"false";0;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.453598"
"86";"170000257";17;"VILLAVERDE          ";1705;"LOS ANGELES         ";"11128909";1;561025;"CALLE                   ";"PAN Y TOROS                                       ";"NUM";"000011";"  ";"1180823VK4618A0001AW";28041;441020.56;4467961.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"A";;;"BAR PEMA";"1";"Anual";"1";"Abierta";37.00;37.00;"2014-04-24 14:13:44.453";"11128909";1;561025;"CALLE                   ";"PAN Y TOROS                                       ";"NUM";"000011";"  ";"Acera";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";0;0;11;11;42;42;;;"false";"true";;;;;;1;"Suelo publico";0;;0;0;;2;"false";0;;0;0;;2;"false";"false";"false";"false";0;0;0;;0;"false";"false";"false";0;0;0;;0;0;0;0;0;0;"false";0;0;0;0;0;"false";;;;;"2025-04-25 03:30:58.775215"
"8";"270547645";18;"VILLA DE VALLECAS   ";1803;"ENSANCHE DE VALLECAS";"31017910";1;2256;"CALLE                   ";"ALMONTE                                           ";"NUM";"000019";"  ";"6794213VK4669D0070ZX";28031;446598.53;4469313.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"02";;;"LIZETH";"1";"Anual";"1";"Abierta";37.44;37.44;"2014-03-28 10:17:25.447";"31017910";1;2256;"CALLE                   ";"ALMONTE                                           ";"NUM";"000019";"  ";"Acera";"08:00:00";"01:30:00";"08:00:00";"01:00:00";"08:00:00";"01:30:00";"08:00:00";"01:00:00";0;0;12;12;34;34;0;0;"false";"false";;;;;;1;"Suelo publico";0;0;0;0;0;4;"false";0;0;0;0;0;4;"false";"false";"false";"false";0;0;0;0;0;"false";"false";"false";0;0;0;0;0;0;0;0;0;0;"false";0;0;0;0;0;"false";0;0;0;0;"2025-04-25 03:30:58.775215"
"32";"270068967";4;"SALAMANCA           ";401;"RECOLETOS           ";"11014183";1;85200;"CALLE                   ";"AYALA                                             ";"NUM";"000019";"  ";"1957910VK4715F0001ZQ";28001;441830.6;4475475.5;"1";"Puerta Calle";"1";"Abierto";10;;"1";"01";;;"JURUCHA";"2";"Estacional";"1";"Abierta";18.38;;"2014-04-04 08:48:36.03";"11014183";1;85200;"CALLE                   ";"AYALA                                             ";"NUM";"000019";"  ";"Acera";"08:00:00";"01:30:00";;;"08:00:00";"01:30:00";;;0;0;10;0;20;0;;;"false";"false";;;;;;1;"Suelo publico";7;;0;0;;2;"false";0;;0;0;;0;;"false";"false";"false";0;0;0;;0;;;;0;0;0;;0;0;0;0;0;0;"false";0;0;0;;;;;;;;"2025-04-25 03:30:58.27455"
